ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,Animal
2013-09-30,260.0016422044166,55.39378052848152,433.6285271106992,260.0016422044166,260.0016422044166,-6.3946687186485,-6.3946687186485,-6.3946687186485,-0.3402958778577833,-0.3402958778577833,-0.3402958778577833,-6.054372840790716,-6.054372840790716,-6.054372840790716,0.0,0.0,0.0,253.6069734857681,Cow
2013-10-01,259.9962982497925,73.57933499797325,441.1906458083666,259.9962982497925,259.9962982497925,-1.2852133164320605,-1.2852133164320605,-1.2852133164320605,3.454044979824662,3.454044979824662,3.454044979824662,-4.739258296256723,-4.739258296256723,-4.739258296256723,0.0,0.0,0.0,258.71108493336044,Cow
2013-10-04,259.9802663859203,67.33350299273415,451.608941479973,259.9802663859203,259.9802663859203,-4.015580810012616,-4.015580810012616,-4.015580810012616,-2.431877919364295,-2.431877919364295,-2.431877919364295,-1.583702890648321,-1.583702890648321,-1.583702890648321,0.0,0.0,0.0,255.96468557590768,Cow
2013-10-09,259.9535466128,86.00607062271492,454.664373826294,259.9535466128,259.9535466128,12.383139153486445,12.383139153486445,12.383139153486445,10.452609234483116,10.452609234483116,10.452609234483116,1.930529919003328,1.930529919003328,1.930529919003328,0.0,0.0,0.0,272.33668576628645,Cow
2013-10-12,259.9375147489277,78.74796516565985,429.3092154926953,259.9375147489277,259.9375147489277,-4.46096029539977,-4.46096029539977,-4.46096029539977,-8.480888624821501,-8.480888624821501,-8.480888624821501,4.019928329421732,4.019928329421732,4.019928329421732,0.0,0.0,0.0,255.476554453528,Cow
2013-10-13,259.93217079430366,68.8744689162713,437.73080250819714,259.93217079430366,259.93217079430366,-4.247611089425863,-4.247611089425863,-4.247611089425863,-9.110896302262978,-9.110896302262978,-9.110896302262978,4.863285212837114,4.863285212837114,4.863285212837114,0.0,0.0,0.0,255.68455970487776,Cow
2013-10-17,259.91079497580745,79.1170390890874,464.4902948531936,259.91079497580745,259.91079497580745,15.879521673615686,15.879521673615686,15.879521673615686,6.457304510014474,6.457304510014474,6.457304510014474,9.422217163601212,9.422217163601212,9.422217163601212,0.0,0.0,0.0,275.7903166494231,Cow
2013-10-21,259.8894191573112,91.0924803994601,445.1360963738481,259.8894191573112,259.8894191573112,15.622988889401022,15.622988889401022,15.622988889401022,-0.3402958778570121,-0.3402958778570121,-0.3402958778570121,15.963284767258036,15.963284767258036,15.963284767258036,0.0,0.0,0.0,275.5124080467122,Cow
2013-10-24,259.8733872934389,89.64727596066776,487.8101439404108,259.8733872934389,259.8733872934389,28.01061305974201,28.01061305974201,28.01061305974201,6.4573045100017366,6.4573045100017366,6.4573045100017366,21.55330854974027,21.55330854974027,21.55330854974027,0.0,0.0,0.0,287.88400035318097,Cow
2013-10-25,259.86804333881486,96.84585188935128,479.34268405372535,259.86804333881486,259.86804333881486,20.942228350130883,20.942228350130883,20.942228350130883,-2.431877919393421,-2.431877919393421,-2.431877919393421,23.3741062695243,23.3741062695243,23.3741062695243,0.0,0.0,0.0,280.81027168894576,Cow
2013-10-27,259.8573554295668,95.25720693989878,456.0735900845143,259.8573554295668,259.8573554295668,17.59075869815064,17.59075869815064,17.59075869815064,-9.110896302262388,-9.110896302262388,-9.110896302262388,26.701655000413023,26.701655000413023,26.701655000413023,0.0,0.0,0.0,277.4481141277174,Cow
2013-10-28,259.8520114749426,84.31145963980936,474.7173257870512,259.8520114749426,259.8520114749426,27.77942790343539,27.77942790343539,27.77942790343539,-0.3402958778502983,-0.3402958778502983,-0.3402958778502983,28.119723781285693,28.119723781285693,28.119723781285693,0.0,0.0,0.0,287.631439378378,Cow
2013-10-29,259.8466675203186,103.47000062967484,479.3521103645725,259.8466675203186,259.8466675203186,32.76962935734511,32.76962935734511,32.76962935734511,3.454044979820756,3.454044979820756,3.454044979820756,29.315584377524356,29.315584377524356,29.315584377524356,0.0,0.0,0.0,292.6162968776637,Cow
2013-11-02,259.8252917018223,106.71374431745302,468.74568993718447,259.8252917018223,259.8252917018223,22.62913180988868,22.62913180988868,22.62913180988868,-8.48088862481576,-8.48088862481576,-8.48088862481576,31.11002043470444,31.11002043470444,31.11002043470444,0.0,0.0,0.0,282.454423511711,Cow
2013-11-09,259.7878840194538,74.5737995578645,445.8816283089039,259.7878840194538,259.7878840194538,11.402065702431148,11.402065702431148,11.402065702431148,-8.480888624815762,-8.480888624815762,-8.480888624815762,19.88295432724691,19.88295432724691,19.88295432724691,0.0,0.0,0.0,271.189949721885,Cow
